CLASS	NUM MEM	AVG AGE	MED AGE	PVALUE
Background	1106	4.5262	2.0000	
hsa-mir-1255	4	1.7500	2.0000	1.8846e-01
hsa-mir-320	9	3.2222	2.0000	2.9589e-01
hsa-mir-550	5	1.2000	0.0000	4.6247e-02
hsa-mir-519	7	1.4286	2.0000	5.0855e-02
hsa-mir-518	8	1.3750	1.0000	3.4071e-02
hsa-mir-513	5	2.4000	2.0000	3.9498e-01
hsa-mir-514	4	1.7500	2.0000	1.8046e-01
hsa-mir-517	4	1.5000	2.0000	1.2313e-01
hsa-mir-516	4	2.0000	2.0000	2.6386e-01
hsa-mir-941	4	0.0000	0.0000	3.0395e-03
hsa-mir-181	5	10.0000	10.0000	5.6828e-03
hsa-mir-548	40	0.3750	0.0000	1.1674e-13
hsa-let-7	11	12.0000	12.0000	5.3063e-07
hsa-mir-1302	10	0.7000	1.0000	8.9295e-04
hsa-mir-1273	4	1.0000	0.0000	3.1019e-02
hsa-mir-509	4	2.0000	2.5000	2.5213e-01
hsa-mir-376	4	8.2500	8.0000	7.4288e-02
hsa-mir-7	4	9.2500	8.0000	4.5866e-02
hsa-mir-9	4	10.5000	10.0000	1.2717e-02
hsa-mir-103	4	6.0000	6.0000	4.3378e-01
hsa-mir-29	4	11.5000	12.0000	1.4269e-03
hsa-mir-302	6	6.1667	8.0000	1.8787e-01
hsa-mir-3180	5	0.0000	0.0000	1.0839e-03
hsa-mir-3118	6	0.5000	0.0000	3.2036e-03
hsa-mir-30	6	10.8333	11.5000	5.4882e-04
hsa-mir-520	8	2.1250	2.0000	2.3621e-01
