family	# of mem	std of age	std p-value
hsa-mir-4315	2	0.0	0.1383
hsa-mir-1324	2	0.0	0.1386
hsa-mir-3199	2	0.0	0.1376
hsa-mir-1972	2	1.5	0.0701
hsa-mir-378	3	4.2426	0.0393
hsa-mir-3119	2	0.5	0.159
hsa-mir-3118	6	1.118	0.0024
hsa-mir-208	2	0.5	0.1618
hsa-mir-374	3	0.4714	0.0664
hsa-mir-376	4	0.433	0.0143
hsa-mir-124	3	0.9428	0.0623
hsa-mir-125	3	1.4142	0.0213
hsa-mir-128	2	0.0	0.1341
hsa-mir-129	2	1.5	0.0683
hsa-mir-519	7	1.0498	0.0016
hsa-mir-1255	4	0.433	0.014
hsa-mir-3913	2	0.0	0.1348
hsa-mir-3910	2	0.0	0.1318
hsa-mir-33	3	0.4714	0.0603
hsa-mir-30	6	1.4625	0.002
hsa-mir-34	3	1.6997	0.0118
hsa-mir-642	3	1.4142	0.0244
hsa-mir-3202	2	1.0	0.1252
hsa-mir-1233	2	1.0	0.1275
hsa-mir-487	2	0.0	0.1297
hsa-mir-320	9	2.8974	0.0007
hsa-mir-216	2	1.0	0.1232
hsa-mir-365	2	2.0	0.0308
hsa-mir-218	3	1.2472	0.0444
hsa-mir-219	2	0.0	0.1315
hsa-mir-1	2	0.0	0.137
hsa-mir-3689	2	0.5	0.1618
hsa-mir-7	4	2.7726	0.0141
hsa-mir-200	3	0.9428	0.0562
hsa-mir-9	4	2.5981	0.0054
hsa-mir-199	3	1.4142	0.0256
hsa-mir-1244	3	0.0	0.0202
hsa-mir-194	2	0.5	0.1563
hsa-mir-196	3	0.9428	0.062
hsa-mir-190	2	2.0	0.0295
hsa-mir-193	3	1.633	0.0064
hsa-mir-1184	3	3.7712	0.0338
hsa-mir-1185	2	3.0	0.0707
hsa-mir-3130	2	0.5	0.1598
hsa-mir-3116	2	0.5	0.1616
hsa-mir-103	4	6.0	0.0014
hsa-mir-101	3	1.4142	0.0271
hsa-mir-106	2	0.0	0.1339
hsa-mir-105	2	0.0	0.1392
hsa-mir-551	2	0.0	0.1375
hsa-mir-550	5	1.4697	0.0034
hsa-mir-181	5	1.7889	0.0002
hsa-mir-3926	2	0.5	0.1568
hsa-mir-544	2	4.0	0.0825
hsa-mir-301	2	2.0	0.0295
hsa-mir-302	6	3.3375	0.0036
hsa-mir-3622	2	0.5	0.1623
hsa-mir-1285	3	0.4714	0.0619
hsa-let-7	11	1.6514	0.0
hsa-mir-3150	2	0.5	0.1558
hsa-mir-3156	3	0.9428	0.0602
hsa-mir-1283	3	1.2472	0.0435
hsa-mir-1282	2	4.0	0.0862
hsa-mir-3158	2	0.5	0.1646
hsa-mir-1289	2	0.5	0.161
hsa-mir-4283	2	0.0	0.1416
hsa-mir-3914	2	1.5	0.0717
hsa-mir-10	2	1.5	0.0635
hsa-mir-15	2	0.0	0.1326
hsa-mir-16	2	1.5	0.0668
hsa-mir-19	3	2.4944	0.0054
hsa-mir-18	2	1.0	0.1271
hsa-mir-3160	2	0.0	0.1297
hsa-mir-99	2	2.0	0.0296
hsa-mir-153	3	1.8856	0.008
hsa-mir-92	3	1.8856	0.0071
hsa-mir-323	2	4.5	0.0803
hsa-mir-526	3	0.9428	0.0576
hsa-mir-520	8	0.3307	0.0001
hsa-mir-521	3	0.4714	0.0668
hsa-mir-523	2	1.0	0.125
hsa-mir-329	3	2.8284	0.0272
hsa-mir-548	40	0.731	0.0
hsa-mir-3179	3	0.9428	0.0611
hsa-mir-26	3	0.4714	0.0628
hsa-mir-27	2	2.5	0.0378
hsa-mir-20	2	3.0	0.0699
hsa-mir-1302	10	0.6403	0.0001
hsa-mir-23	3	4.6428	0.0073
hsa-mir-29	4	0.866	0.0154
hsa-mir-146	2	0.5	0.1576
hsa-mir-518	8	1.111	0.0007
hsa-mir-3074	2	2.5	0.0377
hsa-mir-511	3	2.357	0.0114
hsa-mir-513	5	0.4899	0.0042
hsa-mir-512	3	0.4714	0.0659
hsa-mir-515	2	0.0	0.1399
hsa-mir-514	4	1.0897	0.0124
hsa-mir-517	4	0.866	0.0158
hsa-mir-516	4	0.0	0.0043
hsa-mir-450	3	2.6247	0.0223
hsa-mir-454	2	0.5	0.1695
hsa-mir-449	3	0.4714	0.0642
hsa-mir-891	2	0.0	0.1381
hsa-mir-892	3	0.0	0.0247
hsa-mir-148	2	1.5	0.0606
hsa-mir-1270	2	0.5	0.1544
hsa-mir-1273	4	1.7321	0.0021
hsa-mir-1274	2	0.0	0.1328
hsa-mir-3180	5	0.0	0.0009
hsa-mir-664	2	0.5	0.1565
hsa-mir-663	2	1.0	0.1257
hsa-mir-509	4	1.2247	0.0114
hsa-mir-500	2	4.0	0.084
hsa-mir-133	3	2.8284	0.0271
hsa-mir-130	2	2.0	0.0313
hsa-mir-135	3	1.2472	0.0428
hsa-mir-138	2	1.0	0.1244
hsa-mir-1260	2	3.5	0.0905
hsa-mir-941	4	0.0	0.0041
