CLASS	# of mem	avg age	avg p-value
Adenoviridae Infections	70	7.71	0.0000e+00
Lupus Erythematosus, Systemic	27	10.81	0.0000e+00
Fatty Liver, Non-Alcoholic	5	11.20	0.0000e+00
Patau Syndrome	3	11.00	2.3000e-03
Glioblastoma 	2	12.00	5.9000e-03
Periodontal Diseases	5	10.20	6.0000e-04
Sjogren's Syndrome	2	9.50	1.1200e-02
Pulmonary Disease, Chronic Obstructive	16	11.06	0.0000e+00
Parkinson Disease	33	10.00	0.0000e+00
Pituitary Neoplasms	16	11.81	0.0000e+00
Intracranial Aneurysm	2	8.50	3.4000e-02
Brain Injuries	2	13.00	4.1000e-03
Myocardium	6	10.83	2.0000e-04
Myotonic Dystrophy	21	10.38	0.0000e+00
HIV Infections	6	9.50	3.0000e-04
Sezary Syndrome	4	10.50	1.1000e-03
Mastocytosis, Systemic	2	8.50	3.2400e-02
Long QT Syndrome	2	14.00	1.0000e-03
Psoriasis	16	9.69	0.0000e+00
Toxoplasmosis	8	10.88	0.0000e+00
Lymphoma, T-Cell	16	11.06	0.0000e+00
Neoplasms	121	10.08	0.0000e+00
Leukemia, Myeloid, Acute	73	10.51	0.0000e+00
Cardiovascular Diseases	2	12.00	5.8000e-03
Glomerulonephritis, IGA	5	9.60	2.0000e-03
Cocaine-Related Disorders	6	12.33	0.0000e+00
Carcinoma, Ehrlich Tumor	6	10.17	6.0000e-04
Myocardial Infarction	33	10.67	0.0000e+00
Leukemia, Myelogenous, Chronic, BCR-ABL Positive	11	9.55	1.0000e-04
Crohn Disease	20	9.85	0.0000e+00
Nephrosclerosis	5	10.20	5.0000e-04
Kidney Neoplasms	7	10.57	1.0000e-04
Carcinoma, Non-Small-Cell Lung	103	9.98	0.0000e+00
Cardiomyopathy, Hypertrophic	22	10.82	0.0000e+00
Esophageal Neoplasms	80	9.36	0.0000e+00
Hematologic Neoplasms	9	12.33	0.0000e+00
Retinal Degeneration	9	10.78	0.0000e+00
Chordoma	2	12.00	5.4000e-03
Precursor Cell Lymphoblastic Leukemia-Lymphoma	23	11.74	0.0000e+00
Prostatic Neoplasms	123	9.72	0.0000e+00
Liver Failure	7	10.86	0.0000e+00
Papilary thyroid carcinoma	2	12.00	4.7000e-03
Adrenocortical Adenoma	7	9.14	6.0000e-04
Cerebellar Neoplasms	2	2.50	3.7500e-02
Lymphoma, Extranodal NK-T-Cell	2	10.50	1.8400e-02
Diabetes Mellitus	9	10.89	0.0000e+00
Obesity	9	11.67	0.0000e+00
Carcinoma, Small Cell	13	10.62	0.0000e+00
Anoxia	2	8.50	3.1600e-02
Arrhythmias, Cardiac	4	13.00	1.0000e-04
Pancreatic Neoplasms	108	10.22	0.0000e+00
Kidney Failure, Chronic	6	11.17	1.0000e-04
Brain Neoplasms	10	10.20	0.0000e+00
Multiple Sclerosis	26	9.77	0.0000e+00
Digestive System Neoplasms	11	12.00	0.0000e+00
Astrocytoma	22	10.82	0.0000e+00
Sepsis	15	10.40	0.0000e+00
Dementia	3	6.67	3.9000e-02
Moyamoya Disease	2	9.00	2.8400e-02
Acquired Immunodeficiency Syndrome	3	8.33	1.4000e-02
