CLASS	NUM MEM	AVG AGE	MED AGE	PVALUE
Background	1106	4.5262	2.0000	
Lupus Erythematosus, Systemic	27	10.8148	12.0000	5.3736e-12
HIV Infections	6	9.5000	9.0000	3.0550e-03
Glomerulonephritis, IGA	5	9.6000	9.0000	6.3171e-03
Carcinoma, Ehrlich Tumor	6	10.1667	10.0000	1.2748e-03
Prostatic Neoplasms	123	9.7154	10.0000	4.8342e-31
Arrhythmias, Cardiac	4	13.0000	13.0000	6.0964e-04
Astrocytoma	22	10.8182	12.0000	9.0890e-10
Neoplasms, Squamous Cell	34	9.4412	10.0000	6.6136e-10
Adrenal Cortex Neoplasms	8	10.5000	9.5000	3.5748e-04
Distal Myopathies	5	12.4000	12.0000	2.3722e-04
Hepatitis, Chronic	13	9.9231	10.0000	1.6078e-05
Lymphoma, Primary Effusion	14	12.0000	12.0000	1.4460e-08
Child Development Disorders, Pervasive	4	9.0000	9.0000	1.9088e-02
Eosinophilic Esophagitis	28	10.1786	10.0000	1.7149e-10
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	6	9.6667	10.5000	6.4766e-03
Acute Coronary Syndrome	8	11.1250	12.0000	1.4282e-04
Liver Diseases	5	12.0000	12.0000	3.0755e-04
Ependymoma	9	9.6667	12.0000	7.3274e-04
Sarcoma, Ewing's	6	12.3333	12.0000	6.4027e-05
Myotonic Dystrophy	21	10.3810	10.0000	7.3458e-09
Toxoplasmosis	8	10.8750	10.5000	1.5997e-04
Breast Neoplasms	222	8.5180	9.0000	5.1245e-32
Choriocarcinoma	4	11.0000	11.0000	1.9372e-03
Helplessness, Learned	7	9.8571	10.0000	1.2411e-03
Liver Cirrhosis	22	9.0909	10.0000	1.6012e-06
Frontotemporal Lobar Degeneration	6	2.1667	2.0000	2.4393e-01
Cholesteatoma	5	12.4000	12.0000	2.2435e-04
Biliary Tract Neoplasms	15	9.2667	8.0000	1.0561e-04
Cholangiocarcinoma	15	10.0667	10.0000	6.1637e-06
Periodontitis	17	8.7647	12.0000	2.8215e-04
Salivary Gland Neoplasms	24	9.9583	9.0000	2.6302e-08
Myeloproliferative Disorders	6	12.0000	12.0000	2.1725e-04
Mouth Neoplasms	28	10.3571	10.0000	4.0056e-10
Leiomyoma	8	11.0000	12.0000	9.9353e-05
Nervous System Diseases	4	10.5000	10.5000	5.0056e-03
HIV	11	11.7273	12.0000	7.4700e-07
Cardiomegaly	8	10.8750	11.0000	1.3268e-04
Myelodysplastic Syndromes	40	10.8750	12.0000	2.5035e-16
Myocardial Ischemia	6	11.0000	12.0000	3.9457e-04
Multiple Sclerosis	26	9.7692	11.0000	2.7855e-09
Lymphoma, Large-Cell, Anaplastic	11	11.9091	12.0000	1.3917e-06
Fatty Liver, Non-Alcoholic	5	11.2000	12.0000	1.1048e-03
