DISEASE	AVG AGE	MED AGE	PVALUE
Background	4.4892	2.0000	
Lupus Erythematosus, Systemic	27	10.8148	12.0000	5.5289e-12
HIV Infections	6	9.5000	9.0000	3.1343e-03
Glomerulonephritis, IGA	5	9.6000	9.0000	6.3825e-03
Carcinoma, Ehrlich Tumor	6	10.1667	10.0000	1.2921e-03
Prostatic Neoplasms	120	9.7167	10.0000	2.2297e-30
Arrhythmias, Cardiac	4	13.0000	13.0000	6.1480e-04
Astrocytoma	22	10.8182	12.0000	9.4406e-10
Neoplasms, Squamous Cell	30	9.4667	10.0000	3.5331e-09
Adrenal Cortex Neoplasms	8	10.5000	9.5000	3.5962e-04
Distal Myopathies	5	12.4000	12.0000	2.4061e-04
Hepatitis, Chronic	13	9.9231	10.0000	1.5883e-05
Lymphoma, Primary Effusion	14	12.0000	12.0000	1.4934e-08
Child Development Disorders, Pervasive	4	9.0000	9.0000	1.9433e-02
Eosinophilic Esophagitis	27	10.1111	10.0000	5.3071e-10
Precursor B-Cell Lymphoblastic Leukemia-Lymphoma	6	9.6667	10.5000	6.2099e-03
Acute Coronary Syndrome	8	11.1250	12.0000	1.4313e-04
Liver Diseases	5	12.0000	12.0000	3.1276e-04
Ependymoma	9	9.6667	12.0000	7.2240e-04
Sarcoma, Ewing's	6	12.3333	12.0000	6.5203e-05
Myotonic Dystrophy	21	10.3810	10.0000	7.7636e-09
Toxoplasmosis	7	11.1429	12.0000	2.7565e-04
Breast Neoplasms	214	8.5093	9.0000	3.0982e-31
Choriocarcinoma	4	11.0000	11.0000	1.9719e-03
Helplessness, Learned	7	9.8571	10.0000	1.2495e-03
Liver Cirrhosis	22	9.0909	10.0000	1.4170e-06
Frontotemporal Lobar Degeneration	5	2.2000	2.0000	2.8780e-01
Cholesteatoma	5	12.4000	12.0000	2.2766e-04
Biliary Tract Neoplasms	12	9.0833	8.5000	4.5350e-04
Cholangiocarcinoma	15	10.0667	10.0000	6.0426e-06
Periodontitis	17	8.7647	12.0000	2.6396e-04
Salivary Gland Neoplasms	24	9.9583	9.0000	2.6981e-08
Myeloproliferative Disorders	6	12.0000	12.0000	2.1803e-04
Mouth Neoplasms	28	10.3571	10.0000	4.0403e-10
Leiomyoma	7	11.2857	12.0000	1.6852e-04
Nervous System Diseases	4	10.5000	10.5000	5.0892e-03
HIV	9	11.8889	12.0000	2.6959e-06
Cardiomegaly	8	10.8750	11.0000	1.3346e-04
Myelodysplastic Syndromes	40	10.8750	12.0000	2.6246e-16
Myocardial Ischemia	6	11.0000	12.0000	4.0391e-04
Multiple Sclerosis	26	9.7692	11.0000	2.6172e-09
Lymphoma, Large-Cell, Anaplastic	9	12.3333	12.0000	3.9813e-06
Fatty Liver, Non-Alcoholic	5	11.2000	12.0000	1.1247e-03
Psoriasis	16	9.6875	9.5000	5.3559e-06
Lymphoma, T-Cell	14	11.2143	12.0000	5.8104e-07
Leukemia, Myelogenous, Chronic, BCR-ABL Positive	11	9.5455	10.0000	1.1244e-04
Kidney Neoplasms	7	10.5714	11.0000	3.2747e-04
Esophageal Neoplasms	77	9.3636	10.0000	8.9115e-18
Hematologic Neoplasms	8	12.3750	12.0000	7.5051e-06
