family	# of mem	avg age	avg p-value
hsa-mir-4315	2	0.0	0.0499
hsa-mir-1324	2	1.0	0.0892
hsa-mir-3199	2	0.0	0.0491
hsa-mir-1972	2	1.5	0.0824
hsa-mir-378	3	3.0	0.0382
hsa-mir-3119	2	0.5	0.0485
hsa-mir-3118	6	0.5	0.0023
hsa-mir-208	2	8.5	0.0331
hsa-mir-374	3	8.3333	0.0148
hsa-mir-376	4	8.25	0.0117
hsa-mir-124	3	13.3333	0.0002
hsa-mir-125	3	10.0	0.0061
hsa-mir-128	2	12.0	0.0058
hsa-mir-129	2	9.5	0.0138
hsa-mir-519	7	1.4286	0.0057
hsa-mir-1255	4	1.75	0.0169
hsa-mir-3913	2	0.0	0.048
hsa-mir-3910	2	0.0	0.0475
hsa-mir-33	3	8.3333	0.0153
hsa-mir-30	6	10.8333	0.0001
hsa-mir-34	3	9.6667	0.0073
hsa-mir-642	3	2.0	0.0289
hsa-mir-3202	2	1.0	0.0918
hsa-mir-1233	2	2.0	0.0666
hsa-mir-487	2	9.0	0.0287
hsa-mir-320	9	3.2222	0.0203
hsa-mir-216	2	9.0	0.0282
hsa-mir-365	2	10.0	0.0159
hsa-mir-218	3	12.3333	0.0004
hsa-mir-219	2	9.0	0.0284
hsa-mir-1	2	12.0	0.0062
hsa-mir-3689	2	0.5	0.047
hsa-mir-7	3	10.0	0.0064
hsa-mir-200	3	8.6667	0.0176
hsa-mir-199	3	9.0	0.0113
hsa-mir-1244	3	1.0	0.041
hsa-mir-194	2	8.5	0.0355
hsa-mir-196	3	9.6667	0.007
hsa-mir-190	2	12.0	0.0044
hsa-mir-193	3	10.0	0.0077
hsa-mir-1184	3	2.6667	0.021
hsa-mir-1185	2	5.0	0.0828
hsa-mir-3130	2	0.5	0.0496
hsa-mir-3116	2	0.5	0.0433
hsa-mir-103	4	6.0	0.0316
hsa-mir-101	3	13.0	0.0
hsa-mir-106	2	9.0	0.0298
hsa-mir-105	2	8.0	0.0242
hsa-mir-551	2	9.0	0.029
hsa-mir-550	5	1.2	0.0134
hsa-mir-181	5	10.0	0.0012
hsa-mir-3926	2	0.5	0.0471
hsa-mir-544	2	4.0	0.0424
hsa-mir-301	2	10.0	0.0115
hsa-mir-302	6	6.1667	0.0227
hsa-mir-3622	2	0.5	0.0444
hsa-mir-1285	3	0.6667	0.033
hsa-let-7	11	12.0	0.0
hsa-mir-3150	2	0.5	0.0468
hsa-mir-3156	3	0.6667	0.0338
hsa-mir-1283	3	1.3333	0.0424
hsa-mir-1282	2	5.0	0.0813
hsa-mir-3158	2	0.5	0.0408
hsa-mir-1289	2	1.5	0.0775
hsa-mir-4283	2	0.0	0.0518
hsa-mir-3914	2	1.5	0.0793
hsa-mir-10	2	10.5	0.0196
hsa-mir-15	2	12.0	0.005
hsa-mir-16	2	10.5	0.0209
hsa-mir-19	3	11.3333	0.001
hsa-mir-18	2	13.0	0.0038
hsa-mir-3160	2	0.0	0.048
hsa-mir-99	2	10.0	0.016
hsa-mir-153	3	11.3333	0.001
hsa-mir-323	2	4.5	0.0889
hsa-mir-526	3	1.6667	0.0388
hsa-mir-520	8	2.125	0.0099
hsa-mir-521	3	2.6667	0.0229
hsa-mir-523	2	1.0	0.0892
hsa-mir-329	3	5.0	0.0363
hsa-mir-548	40	0.375	0.0
hsa-mir-3179	3	0.6667	0.0356
hsa-mir-26	3	8.3333	0.0152
hsa-mir-27	2	11.5	0.0106
hsa-mir-20	2	11.0	0.0098
hsa-mir-1302	10	0.7	0.0004
hsa-mir-23	3	7.3333	0.025
hsa-mir-29	4	11.5	0.0008
hsa-mir-146	2	9.5	0.0123
hsa-mir-518	8	1.375	0.0035
hsa-mir-3074	2	9.5	0.0108
hsa-mir-511	3	3.6667	0.0688
hsa-mir-513	5	2.4	0.0303
hsa-mir-512	3	2.3333	0.0183
hsa-mir-515	2	2.0	0.0633
hsa-mir-514	4	1.75	0.0204
hsa-mir-517	4	1.5	0.0245
hsa-mir-516	4	2.0	0.02
hsa-mir-450	3	6.6667	0.0396
hsa-mir-454	2	10.5	0.0163
hsa-mir-449	3	8.3333	0.0156
hsa-mir-148	2	10.5	0.02
hsa-mir-1270	2	0.5	0.0473
hsa-mir-1273	4	1.0	0.0195
hsa-mir-1274	2	2.0	0.0633
hsa-mir-3180	5	0.0	0.0002
hsa-mir-664	2	3.5	0.0076
hsa-mir-663	2	2.0	0.066
hsa-mir-509	4	2.0	0.0206
hsa-mir-500	2	4.0	0.0407
hsa-mir-133	3	12.0	0.0006
hsa-mir-130	2	12.0	0.0057
hsa-mir-135	3	10.3333	0.0052
hsa-mir-138	2	11.0	0.0095
hsa-mir-1260	2	5.5	0.0816
