family	# of mem	std of age	std p-value
hsa-mir-4315	2	0.0	0.1341
hsa-mir-1324	2	0.0	0.1407
hsa-mir-3199	2	0.0	0.1361
hsa-mir-1972	2	1.5	0.065
hsa-mir-378	3	4.2426	0.0405
hsa-mir-3119	2	0.5	0.1582
hsa-mir-3118	6	1.118	0.0034
hsa-mir-208	2	0.5	0.157
hsa-mir-374	3	0.4714	0.0647
hsa-mir-376	4	0.433	0.0135
hsa-mir-124	3	0.9428	0.0585
hsa-mir-125	3	1.4142	0.025
hsa-mir-128	2	0.0	0.1448
hsa-mir-129	2	1.5	0.0661
hsa-mir-519	7	1.0498	0.0028
hsa-mir-1255	4	0.433	0.0157
hsa-mir-3913	2	0.0	0.1352
hsa-mir-3910	2	0.0	0.1367
hsa-mir-33	3	0.4714	0.0606
hsa-mir-30	6	1.4625	0.0017
hsa-mir-34	3	1.6997	0.0113
hsa-mir-642	3	1.4142	0.0262
hsa-mir-3202	2	1.0	0.131
hsa-mir-1233	2	1.0	0.124
hsa-mir-487	2	0.0	0.1362
hsa-mir-320	9	2.8974	0.0006
hsa-mir-216	2	1.0	0.1326
hsa-mir-365	2	2.0	0.031
hsa-mir-218	3	1.2472	0.0416
hsa-mir-219	2	0.0	0.1329
hsa-mir-1	2	0.0	0.1382
hsa-mir-3689	2	0.5	0.1622
hsa-mir-7	3	2.8284	0.0269
hsa-mir-200	3	0.9428	0.0601
hsa-mir-199	3	1.4142	0.0259
hsa-mir-1244	3	0.0	0.0233
hsa-mir-194	2	0.5	0.1643
hsa-mir-196	3	0.9428	0.0618
hsa-mir-190	2	2.0	0.0289
hsa-mir-193	3	1.633	0.0077
hsa-mir-1184	3	3.7712	0.0337
hsa-mir-1185	2	3.0	0.0686
hsa-mir-3130	2	0.5	0.1591
hsa-mir-3116	2	0.5	0.1582
hsa-mir-103	4	6.0	0.0008
hsa-mir-101	3	1.4142	0.0259
hsa-mir-106	2	0.0	0.1328
hsa-mir-105	2	0.0	0.1356
hsa-mir-551	2	0.0	0.1354
hsa-mir-550	5	1.4697	0.0027
hsa-mir-181	5	1.7889	0.0001
hsa-mir-3926	2	0.5	0.1605
hsa-mir-544	2	4.0	0.0882
hsa-mir-301	2	2.0	0.0279
hsa-mir-302	6	3.3375	0.0041
hsa-mir-3622	2	0.5	0.1574
hsa-mir-1285	3	0.4714	0.071
hsa-let-7	11	1.6514	0.0
hsa-mir-3150	2	0.5	0.1623
hsa-mir-3156	3	0.9428	0.0594
hsa-mir-1283	3	1.2472	0.041
hsa-mir-1282	2	4.0	0.0904
hsa-mir-3158	2	0.5	0.1591
hsa-mir-1289	2	0.5	0.159
hsa-mir-4283	2	0.0	0.1422
hsa-mir-3914	2	1.5	0.058
hsa-mir-10	2	1.5	0.0677
hsa-mir-15	2	0.0	0.1408
hsa-mir-16	2	1.5	0.0656
hsa-mir-19	3	2.4944	0.0069
hsa-mir-18	2	1.0	0.1297
hsa-mir-3160	2	0.0	0.1382
hsa-mir-99	2	2.0	0.0312
hsa-mir-153	3	1.8856	0.0091
hsa-mir-323	2	4.5	0.0872
hsa-mir-526	3	0.9428	0.0651
hsa-mir-520	8	0.3307	0.0
hsa-mir-521	3	0.4714	0.0668
hsa-mir-523	2	1.0	0.1234
hsa-mir-329	3	2.8284	0.021
hsa-mir-548	40	0.731	0.0
hsa-mir-3179	3	0.9428	0.0637
hsa-mir-26	3	0.4714	0.0657
hsa-mir-27	2	2.5	0.037
hsa-mir-20	2	3.0	0.0668
hsa-mir-1302	10	0.6403	0.0
hsa-mir-23	3	4.6428	0.0068
hsa-mir-29	4	0.866	0.0171
hsa-mir-146	2	0.5	0.1605
hsa-mir-518	8	1.111	0.0017
hsa-mir-3074	2	2.5	0.0342
hsa-mir-511	3	2.357	0.0099
hsa-mir-513	5	0.4899	0.0046
hsa-mir-512	3	0.4714	0.0641
hsa-mir-515	2	0.0	0.1313
hsa-mir-514	4	1.0897	0.0141
hsa-mir-517	4	0.866	0.0136
hsa-mir-516	4	0.0	0.0043
hsa-mir-450	3	2.6247	0.0236
hsa-mir-454	2	0.5	0.1603
hsa-mir-449	3	0.4714	0.067
hsa-mir-148	2	1.5	0.067
hsa-mir-1270	2	0.5	0.1605
hsa-mir-1273	4	1.7321	0.0013
hsa-mir-1274	2	0.0	0.1417
hsa-mir-3180	5	0.0	0.0008
hsa-mir-664	2	0.5	0.1559
hsa-mir-663	2	1.0	0.1337
hsa-mir-509	4	1.2247	0.0103
hsa-mir-500	2	4.0	0.0856
hsa-mir-133	3	2.8284	0.0227
hsa-mir-130	2	2.0	0.0341
hsa-mir-135	3	1.2472	0.0439
hsa-mir-138	2	1.0	0.1294
hsa-mir-1260	2	3.5	0.0835
