family	# of mem	std of age	std p-value
hsa-mir-4315	2	0.0	0.1361
hsa-mir-1324	2	0.0	0.1322
hsa-mir-3199	2	0.0	0.1404
hsa-mir-1972	2	1.5	0.0683
hsa-mir-378	3	4.2426	0.0386
hsa-mir-3119	2	0.5	0.1644
hsa-mir-3118	6	1.118	0.0013
hsa-mir-208	2	0.5	0.1658
hsa-mir-374	3	0.4714	0.0669
hsa-mir-376	4	0.433	0.013
hsa-mir-124	3	0.9428	0.0624
hsa-mir-125	3	1.4142	0.0225
hsa-mir-128	2	0.0	0.137
hsa-mir-129	2	1.5	0.0658
hsa-mir-519	7	1.0498	0.0018
hsa-mir-1255	4	0.433	0.0137
hsa-mir-3913	2	0.0	0.1386
hsa-mir-3910	2	0.0	0.135
hsa-mir-33	3	0.4714	0.064
hsa-mir-30	6	1.4625	0.0015
hsa-mir-34	3	1.6997	0.011
hsa-mir-642	3	1.4142	0.0237
hsa-mir-3202	2	1.0	0.1291
hsa-mir-1233	2	1.0	0.1287
hsa-mir-487	2	0.0	0.1344
hsa-mir-320	9	2.8974	0.0006
hsa-mir-216	2	1.0	0.127
hsa-mir-365	2	2.0	0.0304
hsa-mir-218	3	1.2472	0.0434
hsa-mir-219	2	0.0	0.1376
hsa-mir-1	2	0.0	0.1372
hsa-mir-3689	2	0.5	0.1621
hsa-mir-7	4	2.7726	0.0167
hsa-mir-200	3	0.9428	0.056
hsa-mir-9	4	2.5981	0.0062
hsa-mir-199	3	1.4142	0.0279
hsa-mir-1244	3	0.0	0.0227
hsa-mir-194	2	0.5	0.1554
hsa-mir-196	3	0.9428	0.0621
hsa-mir-190	2	2.0	0.0313
hsa-mir-193	3	1.633	0.0077
hsa-mir-1184	3	3.7712	0.0327
hsa-mir-1185	2	3.0	0.0753
hsa-mir-3130	2	0.5	0.1607
hsa-mir-3116	2	0.5	0.1617
hsa-mir-103	4	6.0	0.001
hsa-mir-101	3	1.4142	0.0266
hsa-mir-106	2	0.0	0.1315
hsa-mir-105	2	0.0	0.1346
hsa-mir-551	2	0.0	0.1379
hsa-mir-550	5	1.4697	0.0036
hsa-mir-181	5	1.7889	0.0004
hsa-mir-3926	2	0.5	0.1606
hsa-mir-544	2	4.0	0.0818
hsa-mir-301	2	2.0	0.0305
hsa-mir-302	6	3.3375	0.0047
hsa-mir-3622	2	0.5	0.1599
hsa-mir-1285	3	0.4714	0.0623
hsa-let-7	11	1.6514	0.0
hsa-mir-3150	2	0.5	0.1552
hsa-mir-3156	3	0.9428	0.0599
hsa-mir-1283	3	1.2472	0.0422
hsa-mir-1282	2	4.0	0.088
hsa-mir-3158	2	0.5	0.1599
hsa-mir-1289	2	0.5	0.163
hsa-mir-4283	2	0.0	0.1398
hsa-mir-3914	2	1.5	0.0644
hsa-mir-10	2	1.5	0.0696
hsa-mir-15	2	0.0	0.135
hsa-mir-16	2	1.5	0.0684
hsa-mir-19	3	2.4944	0.0053
hsa-mir-18	2	1.0	0.1344
hsa-mir-3160	2	0.0	0.135
hsa-mir-99	2	2.0	0.0295
hsa-mir-153	3	1.8856	0.008
hsa-mir-92	3	1.8856	0.0071
hsa-mir-323	2	4.5	0.0865
hsa-mir-526	3	0.9428	0.0608
hsa-mir-520	8	0.3307	0.0
hsa-mir-521	3	0.4714	0.0618
hsa-mir-523	2	1.0	0.1242
hsa-mir-329	3	2.8284	0.0257
hsa-mir-548	40	0.731	0.0
hsa-mir-3179	3	0.9428	0.0619
hsa-mir-26	3	0.4714	0.0625
hsa-mir-27	2	2.5	0.0389
hsa-mir-20	2	3.0	0.0717
hsa-mir-1302	10	0.6403	0.0
hsa-mir-23	3	4.6428	0.009
hsa-mir-29	4	0.866	0.0143
hsa-mir-146	2	0.5	0.164
hsa-mir-518	8	1.111	0.0017
hsa-mir-3074	2	2.5	0.0373
hsa-mir-511	3	2.357	0.0103
hsa-mir-513	5	0.4899	0.0048
hsa-mir-512	3	0.4714	0.062
hsa-mir-515	2	0.0	0.1342
hsa-mir-514	4	1.0897	0.0146
hsa-mir-517	4	0.866	0.0137
hsa-mir-516	4	0.0	0.0037
hsa-mir-450	3	2.6247	0.0245
hsa-mir-454	2	0.5	0.1636
hsa-mir-449	3	0.4714	0.0631
hsa-mir-891	2	0.0	0.1344
hsa-mir-892	3	0.0	0.0215
hsa-mir-148	2	1.5	0.0661
hsa-mir-1270	2	0.5	0.1632
hsa-mir-1273	4	1.7321	0.0008
hsa-mir-1274	2	0.0	0.1367
hsa-mir-3180	5	0.0	0.0008
hsa-mir-664	2	0.5	0.1565
hsa-mir-663	2	1.0	0.1279
hsa-mir-509	4	1.2247	0.0104
hsa-mir-500	2	4.0	0.0821
hsa-mir-133	3	2.8284	0.0257
hsa-mir-130	2	2.0	0.0321
hsa-mir-135	3	1.2472	0.0445
hsa-mir-138	2	1.0	0.1282
hsa-mir-1260	2	3.5	0.0857
hsa-mir-941	4	0.0	0.0035
