CLASS	# of mem	avg age	avg p-value
hsa-mir-4315	2	0.00	4.4400e-02
hsa-mir-1324	2	1.00	9.3800e-02
hsa-mir-3199	2	0.00	4.9700e-02
hsa-mir-1972	2	1.50	8.1700e-02
hsa-mir-378	3	3.00	4.0400e-02
hsa-mir-3119	2	0.50	4.0900e-02
hsa-mir-3118	6	0.50	1.5000e-03
hsa-mir-208	2	8.50	3.2900e-02
hsa-mir-374	3	8.33	1.2400e-02
hsa-mir-376	4	8.25	1.0900e-02
hsa-mir-124	3	13.33	5.0000e-04
hsa-mir-125	3	10.00	7.3000e-03
hsa-mir-128	2	12.00	4.9000e-03
hsa-mir-129	2	9.50	1.2800e-02
hsa-mir-519	7	1.43	5.6000e-03
hsa-mir-1255	4	1.75	1.9100e-02
hsa-mir-3913	2	0.00	4.3100e-02
hsa-mir-3910	2	0.00	4.5900e-02
hsa-mir-33	3	8.33	1.8100e-02
hsa-mir-30	6	10.83	0.0000e+00
hsa-mir-34	3	9.67	7.9000e-03
hsa-mir-642	3	2.00	2.9900e-02
hsa-mir-3202	2	1.00	9.0400e-02
hsa-mir-1233	2	2.00	6.2600e-02
hsa-mir-487	2	9.00	2.9000e-02
hsa-mir-320	9	3.22	2.0900e-02
hsa-mir-216	2	9.00	3.0500e-02
hsa-mir-365	2	10.00	1.5000e-02
hsa-mir-218	3	12.33	9.0000e-04
hsa-mir-219	2	9.00	2.9600e-02
hsa-mir-1	2	12.00	4.9000e-03
hsa-mir-3689	2	0.50	4.5300e-02
hsa-mir-7	4	9.25	5.4000e-03
hsa-mir-200	3	8.67	1.7900e-02
hsa-mir-9	4	10.50	1.4000e-03
hsa-mir-199	3	9.00	9.0000e-03
hsa-mir-1244	3	1.00	3.9600e-02
hsa-mir-194	2	8.50	3.3400e-02
hsa-mir-196	3	9.67	7.2000e-03
hsa-mir-190	2	12.00	5.7000e-03
hsa-mir-193	3	10.00	7.5000e-03
hsa-mir-1184	3	2.67	2.2000e-02
hsa-mir-1185	2	5.00	7.8200e-02
hsa-mir-3130	2	0.50	4.4500e-02
hsa-mir-3116	2	0.50	3.9200e-02
hsa-mir-103	4	6.00	3.3200e-02
hsa-mir-101	3	13.00	0.0000e+00
hsa-mir-106	2	9.00	2.9300e-02
hsa-mir-105	2	8.00	2.8100e-02
hsa-mir-551	2	9.00	2.9000e-02
hsa-mir-550	5	1.20	1.3200e-02
hsa-mir-181	5	10.00	9.0000e-04
hsa-mir-3926	2	0.50	4.2800e-02
hsa-mir-544	2	4.00	3.8500e-02
hsa-mir-301	2	10.00	1.3300e-02
hsa-mir-302	6	6.17	2.1400e-02
hsa-mir-3622	2	0.50	4.3300e-02
hsa-mir-1285	3	0.67	3.1900e-02
hsa-let-7	11	12.00	0.0000e+00
hsa-mir-3150	2	0.50	4.2000e-02
hsa-mir-3156	3	0.67	3.0900e-02
hsa-mir-1283	3	1.33	4.3400e-02
hsa-mir-1282	2	5.00	8.1600e-02
hsa-mir-3158	2	0.50	4.6500e-02
hsa-mir-1289	2	1.50	7.5500e-02
